country,title,company,location,employment_type,seniority,applicants,description
Japan,Data analysts,"
                Cognizant
              ","
              Kanagawa, Japan
            ","
            Information Technology and Analyst
          ","
          Full-time
        ","
          66 applicants
        ","
Job:Quality enhancement team provides structured feedback of our client’s products/services to the engineering and customer experience teams. The quality metrics includes “Coverage” and “Passrate” tracking across the use cases and their subparts. The analytics team is designed to capture structured feedback, track critical metrics and develop actionable insights around AI models on a continuous basis. Develop crisp intuitive dashboards that provide relevant information based on the metric definitions.Work with various stakeholders who are placed in multiple global locations to provide or seek support. Understand and design data schema in Hadoop or PostGres Make required SQL transformations  Build Tableau reports or in other comparable reporting interface Do required statistical analysis in R or Python and make required presentations/keynotesEnsure timely and accurate data is available in the dashboardsPlan and execute projects in a timely fashion meeting the business partner requirementsClearly communicate progress on the projectsOrganize and “wrangle” large datasets so that you can get actionable insights from them. This may include finding innovative ways to combine fields of data that don’t naturally mesh together.Do exploratory data analysis so you can navigate a dataset and come out with some broad conclusions based on some initial appraisal. How to use algorithms and programming to efficiently go through large datasets and apply treatments, filters and conditions to your data.Create meaningful data visualizations that communicate your findings and relate them back to how your insights create business impactKey Qualifications Good understanding of RDBMs data concepts and unstructured data- Very strong SQL /querying skillsHands on experience in extraction, mining and transformation and presentation of data on various reporting tools like Tableau, Qlikview, etcHigh comfort in working with ExcelExperience coordinating activities across a global team; Decent Understanding of applied statistical terminologiesExploratory analysis and Hypothesis testing - using R/PythonHigh attention to detail and Decent articulation skillsDesired experience working with global teamsContinuous process improvement/ Quality experience is a plusCommunicate the understanding to Business audienceCognizant is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to sex, gender identity, sexual orientation, race, color, religion, national origin, disability, age, or any other characteristic protected by law.コグニザントジャパンは、人種、国籍、性別、年齢、障がい、性的指向、性同一性、価値観、働き方など多様性を認識し、尊重し、一人ひとりの社員が成果を発揮体現できるような環境を提供しています。また、障がいの有無に関わらず採用を行っており、医療上の必要性または障がいのある社員および応募者に対して効果的で合理的な配慮が実現できるよう状況を伺いながら個別に検討し必要に応じてサポートを提供しています。If you have a disability that requires a reasonable accommodation to search for a job opening or submit an application, please email TAGJapan@cognizant.com with your request and contact information.
"
Japan,Data Analyst,"
                Robert Half
              ","
              Tokyo, Tokyo, Japan
            ","
            Information Technology
          ","
          Full-time
        ","
            Be among the first 25 applicants
          ","
企業概要GAFA出身の日本人が集結するデータ企業はデータアナリストを1名募集中。「データを⼈々のエネルギーに」に共感できる起業家精神を持っている方は大歓迎です！職務内容データの視覚化・KPIダッシュボード作成データ分析の結果に基づいたレポート作成・ソリューション提案パートナーが保有するデータの分析KPIの分解や層別解析等による打ち手の考察と提案実行した施策の効果測定応募資格データ分析の実務経験（1年以上）Tableau等を活用したダッシュボードの要件定義、開発を行いクライアントに納品した経験クライアントの事業のKPI設計に関する知識と経験SQLによる大規模データの処理経験分析結果をわかりやすく伝えるドキュメンテーションスキル、プレゼンテーションスキル検定、回帰分析など基本的な統計学の知識フライウィールのミッションとバリューに共感できること勤務地東京都給与750万－1000万円おすすめのポイント社員インタビューhttps://www.flywheel.jp/careers-2/people6/参照番号：06940-0011941367
      "
Japan,Data Analyst - データアナリスト,"
                Specialized Group
              ","
              Tokyo, Tokyo, Japan
            ","
            Information Technology
          ","
          Full-time
        ","
          72 applicants
        ","
A globally fast growing streaming company is currently looking for both Data Analyst to join their fully remote team. You will be working on a digital product on an international team, and will be working with product managers to report findings in a fast paced, dynamic environment◆Required Experience/qualifications- At least 2 years experience in Data Analyst- Expert at SQL and familiar with R, Python, Scala, Java or C++ is an asset- Business level English and JapaneseThe Benefits You Will ReceiveInternational working environment - Speak EnglishCompetitive salary100% remote workWe are now accepting applications. Apply today!
"
Japan,Data Analyst - EH,"
                Talisman Corporation
              ","
              Tokyo, Tokyo, Japan
            ","
            Information Technology
          ","
          Full-time
        ","
            Be among the first 25 applicants
          ","
Job DescriptionData Analyst (Tokyo)Your Duties & Responsibilities Collect and document data reporting requirements from Finance Analyze and translate business requirements into technical descriptions; and vice versa Provide input to data engineers about technical requirements from the business expectation Leverage the data platform to produce financial statements & reports Perform data analysis related to finance business, including e.g. examining some metric by user cohort, troubleshooting a report discrepancyQualifications/Must Have Good finance / accounting knowledge Experience preparing an analysis result for business audience including with visualizations or using BI Tools Knowledge in SQL and one scripting language (e.g. Python) Experience with a query/ETL job scheduler (e.g. Airflow, Prefect) Good at writing documentation for data queries and transformations Business or above Japanese levelWhat We Offer YouDiversified team with 150+ colleagues from 30+ countriesExciting work opportunities in a rapid-growing organizationCross-functional collaborationFlexible work-from-home arrangementCompetitive salary and benefits
"
Japan,Data Analyst - EH,"
                Talisman Corporation
              ","
              Tokyo, Tokyo, Japan
            ","
            Information Technology
          ","
          Full-time
        ","
            Be among the first 25 applicants
          ","
Job DescriptionData AnalystTokyoAbout PositionAn ideal candidate for this position should have some background in both finance and data analysis, knowing how to query a database and build data pipelines and also able to understand and participate in discussions about finance andaccounting, recognizing where data analysis or a new data source could support this work in the company.Your Duties & Responsibilities Collect and document data reporting requirements from Finance Analyze and translate business requirements into technical descriptions; and vice versa Provide input to data engineers about technical requirements from the business expectation Leverage the data platform to produce financial statements & reports Perform data analysis related to finance business, including e.g. examining some metric by user cohort, troubleshootinga report discrepancyQualifications/Must Have Good finance / accounting knowledge Experience preparing an analysis result for business audience including with visualizations or using BI Tools Knowledge in SQL and one scripting language (e.g. Python) Experience with a query/ETL job scheduler (e.g. Airflow, Prefect) Good at writing documentation for data queries and transformations Business or above Japanese level
"
Japan,Data Analyst - Commerce CDO Office (OGOMD),"
                Rakuten
              ","
              Tokyo, Tokyo, Japan
            ","
            Information Technology
          ","
          Full-time
        ","
            Be among the first 25 applicants
          ","
Job DescriptionBusiness OverviewRakuten Group develops a wide range of services with the mission of empowering people and society through innovation. Among them, the Rakuten Group's core commerce company develops more than 30 services such as Rakuten Ichiba / Rakuten Travel / Logistics / Rakuma.Department OverviewMission of Commerce CDO Office is Responsible for creating data strategy around managing and utilizing data assets, hiring and growing data related talents, and contributing to the revenue growth of commerce company through the support of business units.In addition, as an organization directly under the President of the Commerce Company, we are working with CDO of the Commerce Company, which is a Tech officer of the Commerce Company.It is a very rewarding department that supports various services from the aspect of data utilization, including Rakuten Ichiba, one of Japan's leading EC sites.PositionWhy We HireWe are planning to increase the number of members in order to strengthen the departmental system in order to further promote the utilization of data in the commerce company.Position Details Support for actual analysis of each business (e.g. forecasting and measuring marketing effectiveness) Knowledge management of each business or department on analysis Education of analysts in each businessBy collaborating with data engineers and scientists within the Rakuten Group, you can learn a lot while receiving various stimuli regarding data.Work EnvironmentIt is a small organization with a few members, mainly young people in their 20s and 30s.We are looking for leader candidates and members.Planning and promotion of data utilization in the marketing department of operating companies, and data analyst of SIerMandatory Qualifications At least 3 years of working experience Experience with SQL and BI Tool (Any BI Tool is okay) Experience in data analysis or working for a company or department involved in data analysis Ability to solve problems, think strategically, think structurally, and design hypotheses (at the level of being able to organize issues of business and customer requirements)Desired Qualifications Experience with projects involving big data and AI (machine learning, deep learning) Experience in implementing, managing and utilizing business intelligence and statistical/machine learning tools (e.g. SPSS, DataRobot) E-commerce business experience Good communication skills, leadership and team performance A positive attitude with a willingness to absorb new things while being flexible and responsive to change A strong sense of responsibility and the ability to take initiative and finish the job A positive attitude to discover and solve problemsOthers InformationAdditional information on English QualificationTOEIC Score exceeding 800 (or similar level of English ability)or a University Degree earned in an English-speaking countryTOEIC Score of 600 or higher is acceptable for fixed-term employees.In this case, it is necessary to achieve a TOEIC Score exceeding 800 after joining Rakuten in order to be eligible to become a regular employee.If no evidence is available to prove the qualifications denoted above, taking an IP test, organized by Rakuten, during selection process is required.#business #jobcategory01 #datascientist #jobsubcategory05 #commerce #organization01 #RakutenIchiba #servicename01 #RakutenTravel #servicename11LanguagesEnglish (Overall - 3 - Advanced), Japanese (Overall - 4 - Fluent)
      "
Japan,"Data Analyst (English Only Required) Salary up to 9,0M JPY per year","
                Skillhouse Staffing Solutions K.K.
              ","
              Tokyo, Japan
            ","
            Engineering and Information Technology
          ","
          Full-time
        ","
          59 applicants
        ","
Our client is looking for an experienced Data Analyst!Salary: 7,000,000 JPY to 9,000,000 JPY per yearThis role is part of the Quality enhancement team, which provides structured feedback of our client’s products/services to the engineering and customer experience teams.Within that group is the analytics team, designed to capture structured feedback, track critical metrics and develop actionable insights around AI models on a continuous basis.Responsibilities- Respond to data and product related inquiries in real-time to support business and technical teams- Conduct detailed data analysis on data used across business units to evaluate business processes and improve on/create new features- Perform various data analytics using statistical models and inferences- Provide relational database expertise to construct and execute SQL queries to be used in data analysis activities- Provide expertise and translate the business needs to design; and develop tools, techniques, and metrics, and dashboards for insights and data visualizations using Tableau or Power BI- Responsible for developing and executing tools to monitor and report on data quality- Experience in requirements gathering & delivery management using Agile methodologies- Team player & be able to guide Junior Data Analytics in the team- Design & measure the KPI's across the business unitsRequirements- Experience in the areas of Data Analytics- Building the Data pipelines using SQL/Python- Hands on experience in Data Mining & Transformations using Python & SQL- Strong understanding of the Data Engineering & AWS technologies will be an added advantage- Able to provide innovative analytical insights within the scope of the business* English: Advanced (around TOEIC 860 level)* Japanese: NoneJob Type: PermanentSalary: up to 10,000,000 JPY per yearWorking Hours: 9:00 - 18:00（Mon - Fri）Holidays: Saturday, Sunday, and National Holidays, Year-end and New Year Holidays, Paid Holidays, Other Special HolidaysServices / Benefits: Social insurance, Transportation Fee, No smoking indoors allowed (Designated smoking area), etc.Company Info: A global IT consulting company that provides onsite/offshore model IT solutions.ID: JW18040Apply now or please contact us for further information:recruitment@skillhouse.co.jpblanca.ribe@skillhouse.co.jpSkillhouse Staffing Solutions K.K.Toranomon Annex No.2 Bidg.,3-8-27 Toranomon, Minatok-ku, Tokyowww.skillhouse.co.jp
"
Japan,Data Analyst,"
                Gelato
              ","
              Tokyo, Tokyo, Japan
            ","
            Information Technology
          ","
          Other
        ","
            Be among the first 25 applicants
          ","
About GelatoGelato has built the world's largest and most global network for on-demand production of customized items e.g. t-shirts, wall art, mugs, books, hoodies, and cards. We support a new wave of e-commerce entrepreneurs and the global shift towards local and more sustainable production.We own no assets - we build the software that connects world-class production facilities across the world. We already have more than 100 production partners in 34 countries. In 72 hours we can reach more than 5 billion people with customized products in a smarter, faster, and greener way.Gelato is changing the way that customized products can be produced on-demand. We are already empowering thousands of e-commerce entrepreneurs to grow and scale their businesses. With local production, and exact matching of supply and demand, there is no waste and carbon emissions are reduced.Together we can increase global GDP by effectively supporting local on-demand production and with the $240million of funding announced in August 2021 we are looking to rapidly scale our global teams.The positionWe are seeking analytics professionals with a true passion for data and business impact to join our world-class data team. As a Data Analyst at Gelato, you will shape the future of the business, its core services, and/or products. You will collaborate on a wide array of business problems with a diverse set of cross-functional partners across Product, Engineering, Operations, Data Engineering, Marketing, Finance and others. You will use data and analysis to identify and solve Gelato’s biggest challenges. You will focus on developing hypotheses and employ a diverse toolkit of rigorous analytical methodologies, frameworks, and technical approaches to test them. You will guide teams using data and insights by not simply presenting data, but telling data-driven stories. You will convince and influence your partners using clear insights and recommendations. You will build credibility through structure and clarity, and be a trusted strategic partner for your business stakeholders.The position is based in Gelato’s offices in either London (UK), Oslo (Norway), Stockholm (Sweden), Madrid (Spain) or Barcelona (Spain)What you will be doing Own the design, development, and maintenance of metrics, reports and dashboards to drive key business performance visibility. Identify trends & patterns using internal and external data sources to provide actionable insights to business decision-makers. Frame and carry out statistical experiments to test impact of new initiatives. Partner with business teams to define and track goals around key operational and financial metrics. Generate forecasts, recommendations, and strategic/tactical plans necessary to drive and influence business decision-making. Share your knowledge and build creative solutions while helping the team evolve best practices. Who you are Graduate with a degree in Computer Science/Engineering, Informatics, Mathematics, Economics or a related technical discipline. 2 years+ of relevant experience with data modeling, business analysis, and reporting. Extensive hands-on experience in SQL. Experience with data visualization and BI tools like Looker/Tableau/PowerBI. Experience in cleaning, manipulating and analyzing data in Python or R (Pandas, Numpy, Dplyr). Basic knowledge of statistics, experimentation and statistical modeling.  Excellent communication and presentation skills.  Experience communicating with cross-functional stakeholders and working in collaborative environments. Demonstrated ability to meet deadlines while managing multiple projects. Customer obsessed, highly analytical, with a bias for objective measurement, facts, and reasoning. Self-starter, hands-on, and comfortable operating in a rapidly changing environment. Aptitude to learn new technologies and analytical methodologies relating to business analysis and reporting. Preferred Qualifications Masters degree in analytics or data science. Experience in management consulting.  Hands-on experience with Looker. What we offerWe offer you a chance to be part of a truly amazing journey in a company that sets very high targets and works hard to achieve them. You will be able to work with smart, motivated, and engaged co-workers from all over the world, in an intense and very energetic environment. This leads to you having a tangible impact on the way that we operate and expand our business.Some of the highlights of the package include: Strong technical culture of continuous innovation and improvement Chance to become a shareholder of Gelato! Flexible festive holidays, swap days off according to your values and beliefs. Work at one of our hub city offices or even remotely And much much more! What it’s like to work at GelatoWe are a customer-obsessed team with the ambition to change the world by connecting technology to the printing industry and making it more sustainable. Everyone who joins our team must feel genuinely intrigued and motivated by our mission.We expect a lot. We are a driven team with big goals, so we seek individuals who are genuinely passionate about their work and possess an entrepreneurial spirit. Our culture is unique and we live by our values, so it's worth learning more about our culture and how we work before presenting your application.
"
Japan,Data Analyst,"
                Randstad Japan
              ","
              Tokyo, Tokyo, Japan
            ","
            Information Technology
          ","
          Full-time
        ","
            Be among the first 25 applicants
          ","
        WHO ARE WE LOOKING FOR?If you happen to know what is a map and the map business around the world; If you are interested in both data analysis and business management; if you are ready for real world challenges, who have a strong belief in yourself and look for moonshot achievements, please consider joining our team. We will prepare all the resources you need to power the rocket. Let’s map the galaxy!ResponsibilitiesWith the cross functional team,・You will work with SpaceMaps leads to align our data acquisition strategy・You will work with our data vendor and partners for collaboration・You will work with top engineers to understand their data needs・You will research market trends and identify business opportunities・You will create insightful reports for top management strategic meetingsMinimum Qualifications【求められる経験・スキル / required experience and skills】We Expect You Have The Skills Below・Background in IT and data driven business・Knowledge of maps・Extensive experience with data analysis・Extensive experience with business collaboration and market researchPreferred QualificationsYou will definitely be our target if you have knowledge of one of the following areas additionally:・GIS / Remote sensing・Machine learning・Software engineering (Platform)・Automotive industry・Smart Cities・Japanese language【給与 / salary】年収 1,000 〜 1,500万円【雇用形態 / employment status】正社員試用期間有り【就業時間 / working hours】Flex～ー【休日休暇 / holiday】土曜/日曜/祝日/その他【保険 / social insurance】Employment Insurance. Health Care Insurance , Pension Plan etc【待遇・福利厚生】 Housing allowance Children allowance【特長 / features】外資系企業, 上場企業, 海外勤務あり, 女性活躍中, 女性比率4割以上, 服装自由, 土日祝休み, 完全週休2日制, 年間休日120日以上, フレックスタイム制, 語学力を活かす, グローバル人材歓迎, 新規立上げメンバー【業種 / industry】自動車・輸送機器Job ID: VAC-184798/
      "
Japan,Product Data Analyst - food related,"
                Randstad Japan
              ","
              Tokyo, Tokyo, Japan
            ","
            Information Technology
          ","
          Full-time
        ","
          52 applicants
        ","
About The RoleIn this role, you will play a very important and key role for the growth of the company in Japan.You will join the Product team, and report the Product Owner (who is non-Japanese)Your work will have a direct impact on customers and on the operations of the business.Each week you will analyze the data from the previous week, this is will including reviewing customer data (their interact with the choices, Customer feedback comments, reorders, subscription KPIs),Taking that data then reporting the results to the operations team, as well as the marketThe teams will use that data to adjust the menu and localize it to the Subscribers in Japan's preferencesAll operational decisions on made based on this dataThere is a 10 week lead timeYou will also work alongside a Business Intelligence Specialist who comes from an Engineering backgroundWho They Are Looking ForSomeone that is interested in The Business and productOpen to people with different experiences and backgrounds (Finance / Economics/ statistics / Data Analysts)If you can manipulate the data in Excel that would be enough: if you know SQL, Python, R, or Tableau that would be a plusThe team is mostly young made up 20~30 year old, the internal language is EnglishStrong to fluent English with strong Japanese reading ability only (This is need to read consumer feedback and comments)Working hours and benefitsFlextime - yes (technically starting time is 10am)Work from home - Yes, it is a hybrid : please note -sometimes business needs might require some office visits【求められる経験・スキル / Required Experience And Skills】 Ability to manipulate data using excel: knowledge of SQL, Python, R, or Tableau is a big plus Strong English skill and ability to read Japanese (reading only)Strong communication skills【学歴】大学卒業以上【職種 / type of occupation】アクセス解析、統計解析、データ分析、データアナリスト【給与 / salary】年収 600 〜 800万円【賞与】【雇用形態 / employment status】正社員試用期間有り【就業時間 / working hours】10:00～19:00【休日休暇 / holiday】日曜日,土曜日,祝日諸手当70% Employee discount on subscription【保険 / social insurance】健康保険,厚生年金保険,介護保険,雇用保険受動喫煙防止措置敷地内禁煙（喫煙場所あり）【特長 / features】外資系企業, 上場企業, 女性活躍中, 女性比率4割以上, フレックスタイム制, 新規立上げメンバー【業種 / industry】日用品・化粧品Job ID: VAC-235479/
      "
